target_id,store_id,month,revenue_target,profit_target
TGT00001,,2024-01-01,3484.1,651.48
TGT00021,,2024-02-01,3561.52,849.3
TGT00041,,2024-03-01,3793.8,885.1
TGT00061,,2024-04-01,3871.22,735.4
TGT00081,,2024-05-01,4026.07,943.76
TGT00101,,2024-06-01,,851.35
TGT00121,,2024-07-01,3948.64,915.91
TGT00141,,2024-08-01,4064.78,767.48
TGT00161,,2024-09-01,3871.22,909.18
TGT00181,,2024-10-01,4180.92,930.18
TGT00201,,2024-11-01,4568.04,925.05
TGT00221,,2024-12-01,5032.59,988.98
TGT00241,,2025-01-01,3762.83,771.81
TGT00261,,2025-02-01,3846.44,858.63
TGT00281,,2025-03-01,4097.3,868.67
TGT00301,,2025-04-01,4180.92,888.78
TGT00321,,2025-05-01,4348.15,1000.96
TGT00341,,2025-06-01,4180.92,903.39
TGT00361,,2025-07-01,4264.54,821.25
TGT00381,,2025-08-01,4389.96,957.5
TGT00401,,2025-09-01,,785.85
TGT00421,,2025-10-01,4515.39,900.93
TGT00441,,2025-11-01,4933.48,1104.88
TGT00461,,2025-12-01,5435.19,1026.2
